GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G512","2010","US",,,,,,,,,,"Sioux City-Vermillion, IA-NE-SD CSA","512",,,,,,,,,,,,"33000US512","Sioux City-Vermillion, IA-NE-SD CSA",44253,"Sioux City-Vermillion, IA-NE-SD CSA",2633
"G515","2010","US",,,,,,,,,,"South Bend-Elkhart-Mishawaka, IN-MI CSA","515",,,,,,,,,,,,"33000US515","South Bend-Elkhart-Mishawaka, IN-MI CSA",41836,"South Bend-Elkhart-Mishawaka, IN-MI CSA",850
"G526","2010","US",,,,,,,,,,"Sunbury-Lewisburg-Selinsgrove, PA CSA","526",,,,,,,,,,,,"33000US526","Sunbury-Lewisburg-Selinsgrove, PA CSA",38954,"Sunbury-Lewisburg-Selinsgrove, PA CSA",1963
"G532","2010","US",,,,,,,,,,"Syracuse-Auburn, NY CSA","532",,,,,,,,,,,,"33000US532","Syracuse-Auburn, NY CSA",49597,"Syracuse-Auburn, NY CSA",1178
"G534","2010","US",,,,,,,,,,"Toledo-Fremont, OH CSA","534",,,,,,,,,,,,"33000US534","Toledo-Fremont, OH CSA",41727,"Toledo-Fremont, OH CSA",1130
"G538","2010","US",,,,,,,,,,"Tulsa-Bartlesville, OK CSA","538",,,,,,,,,,,,"33000US538","Tulsa-Bartlesville, OK CSA",44676,"Tulsa-Bartlesville, OK CSA",1312
"G540","2010","US",,,,,,,,,,"Tyler-Jacksonville, TX CSA","540",,,,,,,,,,,,"33000US540","Tyler-Jacksonville, TX CSA",41695,"Tyler-Jacksonville, TX CSA",1701
"G542","2010","US",,,,,,,,,,"Union City-Martin, TN-KY CSA","542",,,,,,,,,,,,"33000US542","Union City-Martin, TN-KY CSA",36585,"Union City-Martin, TN-KY CSA",2673
"G548","2010","US",,,,,,,,,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA","548",,,,,,,,,,,,"33000US548","Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA",76998,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA",688
"G554","2010","US",,,,,,,,,,"Wausau-Merrill, WI CSA","554",,,,,,,,,,,,"33000US554","Wausau-Merrill, WI CSA",48101,"Wausau-Merrill, WI CSA",2701
"G556","2010","US",,,,,,,,,,"Wichita-Winfield, KS CSA","556",,,,,,,,,,,,"33000US556","Wichita-Winfield, KS CSA",45785,"Wichita-Winfield, KS CSA",999
"G558","2010","US",,,,,,,,,,"Williamsport-Lock Haven, PA CSA","558",,,,,,,,,,,,"33000US558","Williamsport-Lock Haven, PA CSA",40588,"Williamsport-Lock Haven, PA CSA",2600
"G564","2010","US",,,,,,,,,,"York-Hanover-Gettysburg, PA CSA","564",,,,,,,,,,,,"33000US564","York-Hanover-Gettysburg, PA CSA",56225,"York-Hanover-Gettysburg, PA CSA",2059
"G566","2010","US",,,,,,,,,,"Youngstown-Warren-East Liverpool, OH-PA CSA","566",,,,,,,,,,,,"33000US566","Youngstown-Warren-East Liverpool, OH-PA CSA",38695,"Youngstown-Warren-East Liverpool, OH-PA CSA",1100
