GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G80362","2010","US",,,,,,,,,,,,,,,"Seaside--Monterey--Marina, CA Urbanized Area","80362",,,,,,,"40000US80362","Seaside--Monterey--Marina, CA Urbanized Area",60134,"Seaside--Monterey--Marina, CA Urbanized Area",3507
"G80389","2010","US",,,,,,,,,,,,,,,"Seattle, WA Urbanized Area","80389",,,,,,,"40000US80389","Seattle, WA Urbanized Area",61982,"Seattle, WA Urbanized Area",667
"G81118","2010","US",,,,,,,,,,,,,,,"Sheboygan, WI Urbanized Area","81118",,,,,,,"40000US81118","Sheboygan, WI Urbanized Area",44255,"Sheboygan, WI Urbanized Area",3750
"G81739","2010","US",,,,,,,,,,,,,,,"Shreveport, LA Urbanized Area","81739",,,,,,,"40000US81739","Shreveport, LA Urbanized Area",36785,"Shreveport, LA Urbanized Area",3485
"G82144","2010","US",,,,,,,,,,,,,,,"Simi Valley, CA Urbanized Area","82144",,,,,,,"40000US82144","Simi Valley, CA Urbanized Area",84679,"Simi Valley, CA Urbanized Area",9117
"G82225","2010","US",,,,,,,,,,,,,,,"Sioux City, IA--NE--SD Urbanized Area","82225",,,,,,,"40000US82225","Sioux City, IA--NE--SD Urbanized Area",41659,"Sioux City, IA--NE--SD Urbanized Area",2428
"G82252","2010","US",,,,,,,,,,,,,,,"Sioux Falls, SD Urbanized Area","82252",,,,,,,"40000US82252","Sioux Falls, SD Urbanized Area",45257,"Sioux Falls, SD Urbanized Area",3281
"G82468","2010","US",,,,,,,,,,,,,,,"Slidell, LA Urbanized Area","82468",,,,,,,"40000US82468","Slidell, LA Urbanized Area",51435,"Slidell, LA Urbanized Area",3872
"G83116","2010","US",,,,,,,,,,,,,,,"South Bend, IN--MI Urbanized Area","83116",,,,,,,"40000US83116","South Bend, IN--MI Urbanized Area",40455,"South Bend, IN--MI Urbanized Area",1613
"G83332","2010","US",,,,,,,,,,,,,,,"South Lyon--Howell--Brighton, MI Urbanized Area","83332",,,,,,,"40000US83332","South Lyon--Howell--Brighton, MI Urbanized Area",60562,"South Lyon--Howell--Brighton, MI Urbanized Area",3224
